nameWithOwner,createdAt,stargazerCount,commitCount
pxb1988/dex2jar,2015-03-16T09:13:07Z,11784,25
Tencent/VasSonic,2017-08-01T08:35:13Z,11773,0
careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,11125,0
grpc/grpc-java,2014-12-08T19:00:00Z,11123,605
mission-peace/interview,2014-07-20T21:27:31Z,10987,0
H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10982,0
amitshekhariitbhu/android-interview-questions,2017-07-09T18:47:24Z,10844,41
alibaba/vlayout,2017-02-27T08:11:47Z,10805,0
metersphere/metersphere,2020-02-03T02:06:12Z,10754,3695
square/javapoet,2013-02-01T16:56:30Z,10670,50
xiaojieonly/Ehviewer_CN_SXJ,2020-11-09T06:14:31Z,10649,210
jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10586,0
jhy/jsoup,2009-12-19T01:29:58Z,10577,268
tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10482,0
google/auto,2013-05-22T21:41:56Z,10347,274
Snoopy1866/LiTiaotiao-Custom-Rules,2023-06-12T12:58:52Z,10261,710
TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,10253,40
doocs/jvm,2018-06-23T01:12:59Z,10148,12
wasabeef/glide-transformations,2015-01-09T10:33:29Z,9863,0
debezium/debezium,2016-01-22T20:17:05Z,9795,2090
jwtk/jjwt,2014-09-13T01:06:24Z,9793,77
kekingcn/kkFileView,2017-12-12T11:41:08Z,9723,419
HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9723,0
YoKeyword/Fragmentation,2016-02-23T08:54:55Z,9721,0
ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,9658,0
hackware1993/MagicIndicator,2016-06-26T08:20:43Z,9645,0
react-native-camera/react-native-camera,2015-04-01T00:54:40Z,9638,0
liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,9597,0
lzyzsd/JsBridge,2015-02-26T12:10:58Z,9593,0
perwendel/spark,2011-05-05T11:52:05Z,9592,0
koral--/android-gif-drawable,2013-01-30T01:37:46Z,9502,5
lihengming/spring-boot-api-project-seed,2017-06-23T10:06:30Z,9486,0
MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,9464,1
trinodb/trino,2019-01-19T06:38:14Z,9454,6516
stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,9427,267
pockethub/PocketHub,2011-09-08T16:52:50Z,9397,0
OpenFeign/feign,2013-06-26T23:28:16Z,9235,354
datahub-project/datahub,2015-11-18T05:47:40Z,9128,2275
crossoverJie/cim,2018-05-20T15:55:56Z,9106,0
android/testing-samples,2014-10-11T03:51:27Z,9093,21
navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9009,0
huanghaibin-dev/CalendarView,2017-03-11T07:16:09Z,8950,0
didi/VirtualAPK,2017-06-29T07:25:05Z,8948,0
awsdocs/aws-doc-sdk-examples,2016-08-18T19:06:57Z,8837,1163
laobie/StatusBarUtil,2016-02-15T03:06:06Z,8822,0
firebase/quickstart-android,2016-04-26T17:13:27Z,8705,90
Freelander/Android_Data,2015-04-04T01:37:44Z,8680,0
Blankj/awesome-java-leetcode,2017-04-17T15:51:41Z,8657,0
KunMinX/Jetpack-MVVM-Best-Practice,2019-10-31T05:21:01Z,8632,51
chrisjenx/Calligraphy,2013-12-20T02:35:45Z,8589,0
json-path/JsonPath,2011-01-24T13:19:19Z,8579,23
facebook/buck,2013-04-17T18:12:18Z,8571,1
opensearch-project/OpenSearch,2021-01-29T22:10:00Z,8542,1838
zhoutaoo/SpringCloud,2017-07-23T14:28:08Z,8506,2
SonarSource/sonarqube,2011-01-05T11:05:17Z,8499,2943
junit-team/junit4,2009-01-13T03:41:26Z,8497,6
apache/cassandra,2009-05-21T02:10:09Z,8488,1551
shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8453,1
roughike/BottomBar,2016-03-16T01:31:05Z,8424,0
sohutv/cachecloud,2016-01-26T05:46:01Z,8410,35
spring-projects/spring-security,2012-01-10T21:50:57Z,8348,2356
provectus/kafka-ui,2019-11-26T15:55:55Z,8348,374
amitshekhariitbhu/Android-Debug-Database,2016-11-16T14:20:24Z,8331,1
apache/shenyu,2018-07-11T08:17:45Z,8264,598
hs-web/hsweb-framework,2016-01-18T03:51:39Z,8245,174
florent37/MaterialViewPager,2015-04-24T17:53:15Z,8165,0
checkstyle/checkstyle,2013-08-31T02:05:05Z,8103,1470
google/tsunami-security-scanner,2020-06-03T16:20:00Z,8083,53
apache/shardingsphere-elasticjob,2015-09-11T11:28:52Z,8045,193
Netflix/SimianArmy,2012-07-06T22:00:05Z,7956,0
alibaba/otter,2013-08-09T09:31:22Z,7947,2
barteksc/AndroidPdfViewer,2016-06-02T20:21:21Z,7944,0
apache/jmeter,2010-05-26T23:38:07Z,7870,481
karatelabs/karate,2017-02-07T15:59:17Z,7810,295
Tencent/Hippy,2019-11-15T01:55:31Z,7788,754
trello/RxLifecycle,2015-07-20T13:32:23Z,7718,0
testcontainers/testcontainers-java,2015-04-12T12:44:59Z,7704,1821
StarRocks/starrocks,2021-09-04T02:29:35Z,7643,8518
facebook/litho,2017-01-27T03:59:11Z,7640,2214
vipshop/vjtools,2018-05-29T09:07:08Z,7600,0
kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7551,1
goldze/MVVMHabit,2017-07-21T10:38:40Z,7502,0
kevin-wayne/algs4,2015-08-31T09:28:49Z,7368,12
TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,7358,953
swagger-api/swagger-core,2011-07-05T23:44:11Z,7328,152
dyc87112/SpringCloud-Learning,2016-08-21T03:39:52Z,7323,0
Bearded-Hen/Android-Bootstrap,2013-11-01T15:36:17Z,7289,0
Tencent/Shadow,2019-06-13T10:50:27Z,7278,14
abel533/Mapper,2014-11-21T11:02:10Z,7247,8
apache/tomcat,2011-10-01T07:00:19Z,7245,1448
crazycodeboy/TakePhoto,2015-08-04T02:05:32Z,7237,0
bytedeco/javacv,2014-04-21T13:50:26Z,7237,18
google/closure-compiler,2014-04-16T15:30:36Z,7233,643
cymcsg/UltimateRecyclerView,2015-01-28T02:27:45Z,7227,0
Qihoo360/RePlugin,2017-06-08T09:39:09Z,7222,0
frohoff/ysoserial,2015-01-28T07:13:55Z,7221,6
google/agera,2015-12-17T13:22:58Z,7208,0
geeeeeeeeek/WeChatLuckyMoney,2015-09-30T16:11:20Z,7197,0
alibaba/transmittable-thread-local,2013-10-13T08:48:33Z,7171,117
lenve/VBlog,2017-12-26T11:01:55Z,7128,0
ogaclejapan/SmartTabLayout,2015-02-14T11:25:51Z,7076,0
twowaits/SDE-Interview-Questions,2017-10-25T11:08:52Z,6973,0
json-path/JsonPath,2011-01-24T13:19:19Z,8579,23
facebook/buck,2013-04-17T18:12:18Z,8571,1
