file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,shardingItemParameters/1[java.lang.String],false,181,1,1,1,0,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,33,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,jobShardingStrategyType/1[java.lang.String],false,286,1,1,1,0,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,18,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,monitorExecution/1[boolean],false,214,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,jobListenerTypes/1[java.lang.String[]],false,321,1,0,0,0,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,addExtraConfigurations/1[org.apache.shardingsphere.elasticjob.api.JobExtraConfiguration],false,332,2,0,0,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,jobErrorHandlerType/1[java.lang.String],false,310,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,timeZone/1[java.lang.String],false,161,1,2,2,0,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,"setProperty/2[java.lang.String,java.lang.String]",false,357,1,1,1,0,1,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,reconcileIntervalMinutes/1[int],false,271,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration$Builder,failover/1[boolean],false,229,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
